place_id,name,rating,reviews_count,lat,lng,types,price_level,query
ChIJO-zP-QeIQQ0RypPybBogF2I,Parque de Atracciones de Madrid,4.1,39662.0,40.411883,-3.750058,"amusement_park, establishment, point_of_interest, tourist_attraction",,tourist attractions Madrid center
ChIJ35PCcoQoQg0RGhxNE3_2Iak,Círculo de Bellas Artes,4.4,33457.0,40.4183042,-3.6965333,"art_gallery, establishment, movie_theater, point_of_interest, tourist_attraction",,tourist attractions Madrid center
ChIJM7u8_EkmQg0RSH-cbUX_1Yc,Matadero Madrid,4.6,31796.0,40.3919453,-3.697883399999999,"establishment, museum, point_of_interest, tourist_attraction",,tourist attractions Madrid center
ChIJTcV2FZ8oQg0RyFE83TPKXW0,Estanque Grande del Retiro,4.7,34498.0,40.417142,-3.6839005,"establishment, park, point_of_interest, tourist_attraction",,tourist attractions Madrid center
ChIJm1TJPX4oQg0R5uFSWl5x2zU,Clock Tower of Sun Gate,4.7,263.0,40.4165583,-3.7037846,"establishment, point_of_interest, tourist_attraction",,tourist attractions Madrid center
ChIJC9wRagApQg0RW_tigd7ML-o,Madrid Self-Guided Scavenger Hunt,,,40.4172697,-3.7038095,"establishment, point_of_interest, tourist_attraction",,tourist attractions Madrid center
ChIJ8wzwJH4pQg0RhZpwexmym_w,Pubcrawl Madrid Vibes,5.0,185.0,40.4172697,-3.7038095,"establishment, point_of_interest, tourist_attraction",,tourist attractions Madrid center
ChIJf7caCAApQg0RZ7jg-p91cFo,main plaza,4.0,2.0,40.4165927,-3.7030921,"establishment, point_of_interest, tourist_attraction",,tourist attractions Madrid center
ChIJQcevZQApQg0RZAAmvLpundQ,Placa conmemorativa de la fundación del PSPR,4.0,1.0,40.4171724,-3.704593,"establishment, point_of_interest, tourist_attraction",,tourist attractions Madrid center
ChIJo0XX-p0pQg0Rhj5a2AQrZ5s,"Mural ""Calle Invisible""",4.2,24.0,40.4150588,-3.7022058,"establishment, point_of_interest, tourist_attraction",,tourist attractions Madrid center
ChIJtcJnefMpQg0RLJ46aNHZ8ag,Graffiti,4.5,2.0,40.4268303,-3.7033334,"establishment, point_of_interest, tourist_attraction",,tourist attractions Malasaña Madrid
ChIJNdq5TgApQg0R37v8FvQ-DHY,Estatua Malasaña 1/3,,,40.4243614,-3.7071451,"establishment, point_of_interest, tourist_attraction",,tourist attractions Malasaña Madrid
ChIJuzJvDAApQg0RM-zXejfQGsY,Casa de Manuela Malasaña Oñoro,5.0,1.0,40.428859,-3.7044589,"establishment, point_of_interest, tourist_attraction",,tourist attractions Malasaña Madrid
ChIJs4IOFWIoQg0RsRhSAEImv3g,Plaza del Dos de Mayo,4.2,13489.0,40.426999,-3.704030299999999,"establishment, park, point_of_interest",,tourist attractions Malasaña Madrid
ChIJ7YkyFAApQg0RXZbmlr8cNPY,Casa Ratoncito Pérez | Madrid,4.8,298.0,40.4259444,-3.7053987,"establishment, point_of_interest, tourist_attraction",,tourist attractions Malasaña Madrid
ChIJ7TTCRwApQg0Rx-8ybfw9vDU,Madrid Bench Primark,4.0,4.0,40.4202324,-3.7032998,"establishment, point_of_interest, tourist_attraction",,tourist attractions Malasaña Madrid
ChIJCeTLWHwoQg0ReGpwiP45wwg,Edificio Carrión,4.6,1638.0,40.42045110000001,-3.7065669,"establishment, point_of_interest, tourist_attraction",,tourist attractions Malasaña Madrid
ChIJsfdII2QoQg0RcyQm0fprP_o,Museo ABC,4.3,2046.0,40.4277672,-3.7095749,"establishment, museum, point_of_interest, tourist_attraction",,tourist attractions Malasaña Madrid
ChIJA3GyQwApQg0RlAEWrqDnhVA,"Tablo Flamenco Torres Bermejas, Madrid",,,40.4195297,-3.703784299999999,"establishment, point_of_interest, tourist_attraction",,tourist attractions Malasaña Madrid
